726834 1990 1 1
726835 1990 1 2
726836 1990 1 3
726837 1990 1 4
726838 1990 1 5
726839 1990 1 6
726840 1990 1 7
726841 1990 1 8
726842 1990 1 9
726843 1990 1 10
726844 1990 1 11
726845 1990 1 12
726846 1990 1 13
726847 1990 1 14
726848 1990 1 15
726849 1990 1 16
726850 1990 1 17
726851 1990 1 18
726852 1990 1 19
726853 1990 1 20
726854 1990 1 21
726855 1990 1 22
726856 1990 1 23
726857 1990 1 24
726858 1990 1 25
726859 1990 1 26
726860 1990 1 27
726861 1990 1 28
726862 1990 1 29
726863 1990 1 30
726864 1990 1 31
726865 1990 2 1
726866 1990 2 2
726867 1990 2 3
726868 1990 2 4
726869 1990 2 5
726870 1990 2 6
726871 1990 2 7
726872 1990 2 8
726873 1990 2 9
726874 1990 2 10
726875 1990 2 11
726876 1990 2 12
726877 1990 2 13
726878 1990 2 14
726879 1990 2 15
726880 1990 2 16
726881 1990 2 17
726882 1990 2 18
726883 1990 2 19
726884 1990 2 20
726885 1990 2 21
726886 1990 2 22
726887 1990 2 23
726888 1990 2 24
726889 1990 2 25
726890 1990 2 26
726891 1990 2 27
726892 1990 2 28
726893 1990 3 1
726894 1990 3 2
726895 1990 3 3
726896 1990 3 4
726897 1990 3 5
726898 1990 3 6
726899 1990 3 7
726900 1990 3 8
726901 1990 3 9
726902 1990 3 10
726903 1990 3 11
726904 1990 3 12
726905 1990 3 13
726906 1990 3 14
726907 1990 3 15
726908 1990 3 16
726909 1990 3 17
726910 1990 3 18
726911 1990 3 19
726912 1990 3 20
726913 1990 3 21
726914 1990 3 22
726915 1990 3 23
726916 1990 3 24
726917 1990 3 25
726918 1990 3 26
726919 1990 3 27
726920 1990 3 28
726921 1990 3 29
726922 1990 3 30
726923 1990 3 31
726924 1990 4 1
726925 1990 4 2
726926 1990 4 3
726927 1990 4 4
726928 1990 4 5
726929 1990 4 6
726930 1990 4 7
726931 1990 4 8
726932 1990 4 9
726933 1990 4 10
726934 1990 4 11
726935 1990 4 12
726936 1990 4 13
726937 1990 4 14
726938 1990 4 15
726939 1990 4 16
726940 1990 4 17
726941 1990 4 18
726942 1990 4 19
726943 1990 4 20
726944 1990 4 21
726945 1990 4 22
726946 1990 4 23
726947 1990 4 24
726948 1990 4 25
726949 1990 4 26
726950 1990 4 27
726951 1990 4 28
726952 1990 4 29
726953 1990 4 30
726954 1990 5 1
726955 1990 5 2
726956 1990 5 3
726957 1990 5 4
726958 1990 5 5
726959 1990 5 6
726960 1990 5 7
726961 1990 5 8
726962 1990 5 9
726963 1990 5 10
726964 1990 5 11
726965 1990 5 12
726966 1990 5 13
726967 1990 5 14
726968 1990 5 15
726969 1990 5 16
726970 1990 5 17
726971 1990 5 18
726972 1990 5 19
726973 1990 5 20
726974 1990 5 21
726975 1990 5 22
726976 1990 5 23
726977 1990 5 24
726978 1990 5 25
726979 1990 5 26
726980 1990 5 27
726981 1990 5 28
726982 1990 5 29
726983 1990 5 30
726984 1990 5 31
726985 1990 6 1
726986 1990 6 2
726987 1990 6 3
726988 1990 6 4
726989 1990 6 5
726990 1990 6 6
726991 1990 6 7
726992 1990 6 8
726993 1990 6 9
726994 1990 6 10
726995 1990 6 11
726996 1990 6 12
726997 1990 6 13
726998 1990 6 14
726999 1990 6 15
727000 1990 6 16
727001 1990 6 17
727002 1990 6 18
727003 1990 6 19
727004 1990 6 20
727005 1990 6 21
727006 1990 6 22
727007 1990 6 23
727008 1990 6 24
727009 1990 6 25
727010 1990 6 26
727011 1990 6 27
727012 1990 6 28
727013 1990 6 29
727014 1990 6 30
727015 1990 7 1
727016 1990 7 2
727017 1990 7 3
727018 1990 7 4
727019 1990 7 5
727020 1990 7 6
727021 1990 7 7
727022 1990 7 8
727023 1990 7 9
727024 1990 7 10
727025 1990 7 11
727026 1990 7 12
727027 1990 7 13
727028 1990 7 14
727029 1990 7 15
727030 1990 7 16
727031 1990 7 17
727032 1990 7 18
727033 1990 7 19
727034 1990 7 20
727035 1990 7 21
727036 1990 7 22
727037 1990 7 23
727038 1990 7 24
727039 1990 7 25
727040 1990 7 26
727041 1990 7 27
727042 1990 7 28
727043 1990 7 29
727044 1990 7 30
727045 1990 7 31
727046 1990 8 1
727047 1990 8 2
727048 1990 8 3
727049 1990 8 4
727050 1990 8 5
727051 1990 8 6
727052 1990 8 7
727053 1990 8 8
727054 1990 8 9
727055 1990 8 10
727056 1990 8 11
727057 1990 8 12
727058 1990 8 13
727059 1990 8 14
727060 1990 8 15
727061 1990 8 16
727062 1990 8 17
727063 1990 8 18
727064 1990 8 19
727065 1990 8 20
727066 1990 8 21
727067 1990 8 22
727068 1990 8 23
