   3.8040000e+03   3.9349998e+01  -8.1433334e+01
   3.8090000e+03   3.6016666e+01  -8.9400002e+01
   3.8100000e+03   3.5733334e+01  -8.1383331e+01
   3.8110000e+03   3.5599998e+01  -8.8916664e+01
   3.8120000e+03   3.5433334e+01  -8.2483330e+01
   3.8130000e+03   3.2700001e+01  -8.3650002e+01
   3.8140000e+03   3.6950001e+01  -8.4099998e+01
   3.8160000e+03   3.7066666e+01  -8.8766670e+01
   3.8170000e+03   3.6599998e+01  -8.9983330e+01
   3.8200000e+03   3.3366665e+01  -8.1966667e+01
   3.8220000e+03   3.2133335e+01  -8.1199997e+01
   3.8380000e+03   3.8983334e+01  -8.9166664e+01
   3.8390000e+03   3.6116665e+01  -8.6683334e+01
   3.8410000e+03   3.6033333e+01  -8.4233330e+01
   3.8470000e+03   3.5950001e+01  -8.5083336e+01
   3.8480000e+03   3.3599998e+01  -8.1083336e+01
   3.8490000e+03   3.7083332e+01  -8.4083336e+01
   3.8560000e+03   3.4700001e+01  -8.6583336e+01
   3.8580000e+03   3.3916668e+01  -8.0800003e+01
   3.8590000e+03   3.7299999e+01  -8.1216667e+01
   3.8600000e+03   3.8366665e+01  -8.2550003e+01
   3.8660000e+03   3.2549999e+01  -8.8566666e+01
   3.8670000e+03   3.9849998e+01  -8.3833336e+01
   3.8680000e+03   3.9450001e+01  -8.7300003e+01
   3.8700000e+03   3.4900002e+01  -8.2216667e+01
   3.8710000e+03   3.9099998e+01  -8.4516670e+01
   3.8720000e+03   3.7783333e+01  -8.1116669e+01
   3.8740000e+03   3.2366665e+01  -8.4800003e+01
   3.8810000e+03   3.2900002e+01  -8.7250000e+01
   3.8830000e+03   3.3466667e+01  -8.6833336e+01
   3.8890000e+03   3.7599998e+01  -8.3316666e+01
   3.9180000e+03   3.6299999e+01  -9.2599998e+01
   3.9190000e+03   3.8816666e+01  -9.7566666e+01
   3.9230000e+03   3.7616665e+01  -9.7266670e+01
   3.9270000e+03   3.2833332e+01  -9.7050003e+01
   3.9280000e+03   3.7650002e+01  -9.7433334e+01
   3.9290000e+03   3.8833332e+01  -9.4583336e+01
   3.9300000e+03   3.4916668e+01  -9.2150002e+01
   3.9320000e+03   3.5366665e+01  -9.9199997e+01
   3.9350000e+03   3.7233334e+01  -8.9566666e+01
   3.9360000e+03   3.9150002e+01  -9.6666664e+01
   3.9380000e+03   3.7733334e+01  -9.2150002e+01
